순위,노래제목,가수
1,취중고백,김민석 (멜로망스)
2,사랑은 늘 도망가,임영웅
3,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
4,Counting Stars (Feat. Beenzino),BE'O (비오)
5,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
6,ELEVEN,IVE (아이브)
7,겨울잠,아이유
8,Dreams Come True,aespa
9,눈이 오잖아(Feat.헤이즈),이무진
10,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
11,다정히 내 이름을 부르면,경서예지
12,strawberry moon,아이유
13,Step Back,GOT the beat
14,신호등,이무진
15,드라마,아이유
16,Savage,aespa
17,STAY,The Kid LAROI
18,이제 나만 믿어요,임영웅
19,Next Level,aespa
20,Christmas Tree,V
21,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student
22,흰눈,먼데이 키즈 (Monday Kiz)
23,우리가 헤어져야 했던 이유,비비 (BIBI)
24,그대라는 사치,임영웅
25,쉬어 (Feat. MINO) (Prod. GRAY),아넌딜라이트(Anandelight)
26,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오)
27,너를 생각해,주시크 (Joosiq)
28,다시 사랑한다면 (김필 Ver.),임영웅
29,Butter,방탄소년단
30,별빛 같은 나의 사랑아,임영웅
31,OHAYO MY NIGHT,디핵 (D-Hack)
32,언덕나무,이승윤
33,잊었니,임영웅
34,서랍,10CM
35,Wake Up (Prod. 코드 쿤스트),개코
36,Permission to Dance,방탄소년단
37,HERO,임영웅
38,바라만 본다,MSG워너비(M.O.M)
39,문득,BE'O (비오)
40,My Universe,Coldplay
41,이별후회,김나영
42,끝사랑,임영웅
43,낙하 (with 아이유),AKMU (악뮤)
44,Dynamite,방탄소년단
45,Celebrity,아이유
46,Bk Love,임영웅
47,정거장,아이유
48,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스
49,헤픈 우연,헤이즈 (Heize)
50,Weekend,태연 (TAEYEON)
51,라일락,아이유
52,Bad Habits,Ed Sheeran
53,밤하늘의 별을(2020),경서
54,고백,멜로망스
55,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
56,안녕 우린 헤어져야만 해,전상근
57,Still I Love You,토요태
58,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
60,사랑이 아니었다고 말하지 마요,이예준
61,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
62,Off My Face,Justin Bieber
63,러브레터,아이유
64,내 손을 잡아,아이유
65,추억은 만남보다 이별에 남아,정동하
66,롤린 (Rollin'),브레이브걸스
67,Dun Dun Dance,오마이걸 (OH MY GIRL)
68,밝게 빛나는 별이 되어 비춰줄게,송이한
69,Blueming,아이유
70,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌
71,봄날,방탄소년단
72,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
73,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),BE'O (비오)
74,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
75,비가 오는 날엔 (2021),헤이즈 (Heize)
76,계단말고 엘리베이터,임영웅
77,좋아좋아,조정석
78,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
79,멜로디,ASH ISLAND
80,여름비,샘김 (Sam Kim)
81,Queendom,Red Velvet (레드벨벳)
82,너,아이유
83,취기를 빌려 (취향저격 그녀 X 산들),산들
84,DUMB DUMB,전소미
85,그날에 나는 맘이 편했을까,이예준
86,Snowman,Sia
87,너의 모든 순간,성시경
88,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy)
89,비와 당신,이무진
90,Life Goes On,방탄소년단
91,ASAP,STAYC(스테이씨)
92,매일 크리스마스 (Everyday Christmas),다비치
93,탕!♡,MINO (송민호)
94,죽을 만큼 아파서 (Feat. JAMIE (제이미)),MC몽
95,"호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)",조광일
96,"깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)",쿤타
97,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
98,밤새 서로 미루다,존박
99,Santa Tell Me,Ariana Grande
100,아직도 좋아해,양요섭
